ID,Name,Stars,Forks,Open Issues,Closed Issues,PRs,Releases,Pushed At,Created At,Primary Language
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp,410372,38358,172,18759,39182,0,2025-02-23T01:29:00Z,2014-12-24T17:49:19Z,TypeScript
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,free-programming-books,350973,59807,29,1131,10449,0,2025-02-14T02:09:41Z,2013-10-11T06:50:37Z,HTML
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,awesome,348387,27453,12,335,2105,0,2025-02-05T17:54:43Z,2014-07-11T13:42:37Z,Unknown
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,build-your-own-x,339430,30779,190,542,435,0,2024-09-03T14:39:35Z,2018-05-09T12:03:18Z,Markdown
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis,328222,33478,50,603,3350,0,2024-10-31T19:50:02Z,2016-03-20T23:49:42Z,Python
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,coding-interview-university,312221,72628,53,458,1012,0,2024-12-05T23:47:30Z,2016-06-06T02:34:12Z,Unknown
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,developer-roadmap,308925,37573,140,2530,4888,1,2025-02-23T00:27:56Z,2017-03-15T13:45:52Z,TypeScript
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,system-design-primer,289964,46389,233,87,572,0,2024-12-02T01:10:39Z,2017-02-26T16:15:28Z,Python
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996.ICU,270294,20923,0,0,1987,0,2024-10-03T12:29:12Z,2019-03-26T07:31:14Z,Unknown
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,awesome-python,234948,24214,0,0,1972,0,2024-08-11T17:10:18Z,2014-06-27T21:00:06Z,Python
MDEwOlJlcG9zaXRvcnkxMDI3MDI1MA==,react,232519,47006,775,12761,16881,103,2025-02-21T17:53:59Z,2013-05-24T16:15:54Z,JavaScript
MDEwOlJlcG9zaXRvcnk4ODAxMTkwOA==,project-based-learning,218609,27892,112,78,443,0,2024-08-15T05:33:54Z,2017-04-12T05:07:46Z,Unknown
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted,217728,9946,0,803,3036,1,2025-02-21T18:24:09Z,2015-06-01T02:33:17Z,Unknown
MDEwOlJlcG9zaXRvcnkxMTczMDM0Mg==,vue,208398,33421,354,9664,2563,249,2024-10-10T07:24:15Z,2013-07-29T03:24:51Z,TypeScript
